"gvkey","ticker","permno","conm","state","incorp"
"160809","XCYT",90098,"CYCLACEL PHARMACEUTICALS","NJ","DE"
"160856","TOPT",90298,"TOP SHIPS INC","",""
"161066","FMPN",90498,"FELDMAN MALL PPTYS INC -OLD","PA","MD"
"162408","NCTN",90483,"THE9 LTD -ADR","",""
"162459","BBGC",90494,"HIGHPOINT RESOURCES CORP","CO","DE"
"162497","CRXX",90968,"ZALICUS INC","MA","DE"
"162585","SNSS",90907,"SUNESIS PHARMACEUTICALS INC","CA","DE"
"162732","EPCT",91078,"EPICEPT CORP-OLD","NY","DE"
"162768","DRYS",90589,"DRYSHIPS INC","",""
"162958","TRGT",91184,"TARGACEPT INC","NC","DE"
"163595","DRVR",86165,"ALTO INGREDIENTS INC","IL","DE"
"163596","PIVC",92571,"CAMBER ENERGY INC -OLD","TX","NV"
"163685","EGBI",90724,"EAGLE BULK SHIPPING INC","CT",""
"163806","NETE",12350,"NET ELEMENT INC","FL","DE"
"163947","RAMS",90743,"NEWLEAD HOLDINGS LTD","",""
"164284","HOTR",13455,"CHANTICLEER HOLDINGS INC","NC","DE"
"164404","CHLD",92681,"CHINA HOUSING & LAND DEV INC","","NV"
"164510","PIPK",90926,"PHARMATHENE INC","MD","DE"
"164511","ADXS",14237,"ADVAXIS INC-OLD","NJ","DE"
"165745","LPTN",13648,"LPATH INC","CA","DE"
"165768","FREQ",91023,"FREESEAS INC","",""
"166087","HE10",13976,"AIR INDUSTRIES GROUP INC","NY","NV"
"166434","CHIP",91816,"POSITIVEID CORP","FL","DE"
"166460","ASTQ",91428,"ASCENT SOLAR TECH INC","CO","DE"
"166582","RAMH",91183,"AMERICAN OVERSEAS GROUP LTD","",""
"170307","LSPT",88258,"GADSEN PROPERTIES INC","TX","NV"
"170420","GIXC",14094,"CANCER GENETICS INC","NJ","DE"
"170655","TYRI",16680,"SILVERSUN TECHNOLOGIES INC","NJ","DE"
"171187","RIXI",14468,"PHIO PHARMACEUTICALS CORP","MA","DE"
"174115","VRTB",91285,"VESTIN REALTY MORTGAGE II","NV","MD"
"174169","RAME",91283,"BATTALION OIL CORP","TX","DE"
"175013","OPMO",13385,"IMMUNOCELLULAR THERPTICS LTD","CA","DE"
"175271","CEPL",91845,"EVOLVE TRANSITION INFRAST LP","TX","DE"
"175342","IRHM",92682,"TAOPING INC","",""
"175347","COIN",91893,"CONVERTED ORGANICS INC -OLD","MA","DE"
"175424","OCLS",91742,"SONOMA PHARMACEUTICALS INC","CO","DE"
"175490","MBLX",91615,"YIELD10 BIOSCIENCE INC","MA","DE"
"175509","UGIR",92054,"TOWERSTREAM CORP","RI","DE"
"175518","ROSG",91829,"ROSETTA GENOMICS LTD","",""
"175674","SFOR",90077,"COHEN & COMPANY INC","PA","MD"
"176118","RNIN",91619,"WIRELESS RONIN TECHNLGS -OLD","MN","MN"
"176229","NRLS",92252,"SENECA BIOPHARMA INC","MD","DE"
"176768","BLSI",92091,"BRIDGELINE DIGITAL INC","MA","DE"
"177112","BIOD",92032,"BIODEL INC","CT","DE"
"177228","NVBY",92345,"NOVABAY PHARMACEUTICALS INC","CA","DE"
"177259","OCNF",91963,"OCEANFREIGHT INC","",""
"177764","SHM",92130,"THERIVA BIOLOGICS INC","MD","NV"
"177981","AMDA",14444,"SINTX TECHNOLOGIES INC","UT","DE"
"178082","PRGP",92224,"PARAGON SHIPPING INC","",""
"178153","SBEI",68145,"NEONODE INC","","DE"
"178403","SRG",92380,"SEANERGY MARITIME HOLDINGS C","",""
"178847","OBLN",16393,"RESHAPE LIFESCIENCES INC","CA","DE"
"178847","ETRM",92433,"RESHAPE LIFESCIENCES INC","CA","DE"
"178939","EONE",92266,"CD INTERNATIONAL ENTERPRISES","FL","FL"
"179360","MILB",84321,"ATRINSIC INC -OLD","NY","DE"
"179417","RSOL",92687,"REAL GOODS SOLAR INC","CO","CO"
"179428","HMSR",80452,"DARA BIOSCIENCES INC","NC","DE"
"179447","NXOI",17324,"MONAKER GROUP INC","FL","NV"
"179454","INTA",78690,"DECISIONPOINT SYSTEMS INC","CA","DE"
"179461","AYTU",16974,"AYTU BIOPHARMA INC","CO","DE"
"179605","RXII",92594,"GALENA BIOPHARMA INC","CA","DE"
"180698","SNUS",82526,"ONCOGENEX PHARMACEUTICALS","WA","DE"
"180866","MYOS",14820,"MYOS RENS TECHNOLOGY INC","NJ","NV"
"180937","MNGA",13556,"TARONIS TECHNOLOGIES","AZ","DE"
"182023","ONCZ",15380,"ONCOSEC MEDICAL INC","NJ",""
"182309","HYSQ",85293,"ARCA BIOPHARMA INC","CO","DE"
"182788","HCMU",85909,"DITECH HOLDING CORP","PA","MD"
"182826","CLGY",82163,"DMK PHARMACEUTICALS CORP","CA","DE"
"183547","PNDA",16819,"CODA OCTOPUS GROUP INC","FL","DE"
"183879","ANTH",93300,"ANTHERA PHARMACEUTCLS INC","TX","DE"
"184241","NVNW",88806,"UNITEK GLOBAL SERVICES INC","PA","DE"
"185495","HPLF",14420,"ALLIQUA BIOMEDICAL INC","PA","DE"
"185587","SGLB",16594,"SIGMA ADDITIVE SOLUTIONS INC","NM","NV"
"185826","DSGS",15297,"INVIVO THERAPEUTICS HLDGS CO","MA","NV"
"186197","DCIX",12500,"PERFORMANCE SHIPPING INC","",""
"186437","GEVO",12579,"GEVO INC","CO","DE"
"186953","NSPZ",13844,"INSPIREMD INC","","DE"
"186974","NVLT",14862,"CELLECTAR BIOSCIENCES INC","NJ","DE"
"187215","EGAL",12792,"GLOBAL EAGLE ENTERTAINMENT","CA","DE"
"187368","00PM",16070,"VISTAGEN THERAPEUTICS INC","CA","NV"
"187698","BCEI",13116,"CIVITAS RESOURCES INC","CO","DE"
"187720","001C",14447,"ARGOS THERAPEUTICS INC","NC","DE"
"190572","00RA",15662,"STAFFING 360 SOLUTIONS INC","NY","DE"
"190856","TNXP",14107,"TONIX PHARMACEUTICALS HLDG","NJ",""
"194256","WHLR",13700,"WHEELER REAL ESTATE INVT TR","VA","MD"
"209418","VCO",81049,"VINA CONCHA Y TORO SA","",""
"224796","BVRS",86383,"EVIATION AIRCRAFT LTD","",""
"237269","XBIO",16473,"XENETIC BIOSCIENCES INC","MA",""
"254096","CYTX",91021,"PLUS THERAPEUTICS INC","TX","DE"
"254381","BNTC",19665,"BENITEC BIOPHARMA LTD","CA",""
"260737","OPTT",91964,"OCEAN POWER TECHNOLOGIES INC","NJ","DE"
"260919","XCYT",90098,"XCYTE THERAPIES INC","WA","DE"
"264713","IFOS",90207,"INFOSONICS CORP -OLD","CA","MD"
"266163","DENG",90681,"DUNE ENERGY INC","TX","DE"
"267059","LOMA",17092,"LOMA NEGRA C.I.A.S.A.","",""
"271841","GFA",91859,"GAFISA SA","",""
"271987","SSHX",13279,"NUWELLIS INC","MN","DE"
"273726","SDRL",93338,"SEADRILL LTD","",""
"285135","GSLB",12397,"GLOBUS MARITIME LTD","",""
"289735","YQR1",14060,"VISLINK TECHNOLOGIES INC","NJ","DE"
"291881","CANF",14272,"CAN FITE BIOPHARMA LTD","",""
"294007","00U5",15642,"INTEC PHARMA LTD","",""
"296318","ORIG",13013,"OCEAN RIG UDW INC","",""
"296885","RDHL",13707,"REDHILL BIOPHARMA LTD","",""
"297209","PACD",13104,"PACIFIC DRILLING SA","CA",""
"297510","APOP",16161,"CELLECT BIOTECHNOLOGY LTD","",""
"331856","003G",14615,"IMMUNIC INC","NY","DE"
"332115","TGEN",80577,"ARMATA PHARMACEUTICALS INC","CA","WA"
"349530","NXOI",17324,"NEXTPLAY TECHNOLOGIES INC","FL","NV"
"349972","00U5",15642,"INDAPTUS THERAPEUTICS INC","NY","DE"
"351038","APOP",16161,"QUOIN PHARMACEUTICALS LTD","VA",""
NA,"CBMX",NA,NA,NA,NA
NA,"BASE",NA,NA,NA,NA
NA,"HCMU",85909,NA,NA,NA
NA,"003G",14615,NA,NA,NA
NA,"NVNW",88806,NA,NA,NA
NA,"SNTT",89411,NA,NA,NA
NA,"00U5",15642,NA,NA,NA
NA,"NXOI",17324,NA,NA,NA
NA,"00AW",14708,NA,NA,NA
NA,"JAGX",15375,NA,NA,NA
NA,"CHMX",NA,NA,NA,NA
NA,"00B1",14937,NA,NA,NA
NA,"PLC1",NA,NA,NA,NA
NA,"HOTR",13455,NA,NA,NA
NA,"RXII",92594,NA,NA,NA
NA,"CLGY",82163,NA,NA,NA
NA,"DRVR",86165,NA,NA,NA
NA,"RXN",NA,NA,NA,NA
NA,"HSGX",15132,NA,NA,NA
NA,"CRXX",90968,NA,NA,NA
NA,"LPTN",13648,NA,NA,NA
NA,"010V",15950,NA,NA,NA
NA,"DTM",63546,NA,NA,NA
NA,"HTMC",NA,NA,NA,NA
NA,"PRTO",15015,NA,NA,NA
NA,"COIN",91893,NA,NA,NA
NA,"017Q",16255,NA,NA,NA
NA,"TANC",14046,NA,NA,NA
NA,"HYSQ",85293,NA,NA,NA
NA,"OVSC",13883,NA,NA,NA
NA,"TBIO",88471,NA,NA,NA
NA,"IASG",NA,NA,NA,NA
NA,"BBMO",13965,NA,NA,NA
NA,"AA0T",NA,NA,NA,NA
NA,"MIRN",15787,NA,NA,NA
NA,"EPCT",91078,NA,NA,NA
NA,"AA25",18148,NA,NA,NA
NA,"CTII",77437,NA,NA,NA
NA,"BIOD",92032,NA,NA,NA
NA,"TGEN",80577,NA,NA,NA
NA,"ACIX",NA,NA,NA,NA
NA,"HAIR",16987,NA,NA,NA
NA,"CTSC",76908,NA,NA,NA
NA,"INTA",78690,NA,NA,NA
NA,"PNDA",NA,NA,NA,NA
NA,"TRGT",91184,NA,NA,NA
NA,"NEXM",88177,NA,NA,NA
NA,"TPHI",90604,NA,NA,NA
NA,"PIPK",90926,NA,NA,NA
NA,"HMSR",80452,NA,NA,NA
NA,"PIVC",92571,NA,NA,NA
NA,"SHM",NA,NA,NA,NA
NA,"FLKS",15177,NA,NA,NA
NA,"NEOT",15075,NA,NA,NA
NA,"OBLN",16393,NA,NA,NA
NA,"WIR1",81761,NA,NA,NA
NA,"BKYS",90101,NA,NA,NA
NA,"MILB",84321,NA,NA,NA
NA,"CAF1",NA,NA,NA,NA
NA,"GIXC",14094,NA,NA,NA
NA,"APOP",16161,NA,NA,NA
NA,"SFOR",90077,NA,NA,NA
NA,"WPCS",90640,NA,NA,NA
NA,"NTNX",76963,NA,NA,NA
NA,"WONE",82668,NA,NA,NA
NA,"UACA",NA,NA,NA,NA
NA,"NPIX",NA,NA,NA,NA
NA,"WU",NA,NA,NA,NA
NA,"TMOT",86536,NA,NA,NA
NA,"NRLS",92252,NA,NA,NA
NA,"MYOS",14820,NA,NA,NA
NA,"FMPN",90498,NA,NA,NA
NA,"VICL",79022,NA,NA,NA
NA,"PFTR",91471,NA,NA,NA
NA,"TELK",88572,NA,NA,NA
NA,"SGY",79444,NA,NA,NA
NA,"XCYT",90098,NA,NA,NA
NA,"PYOL",64822,NA,NA,NA
NA,"BASE",17049,NA,NA,NA
NA,"SP0C",82215,NA,NA,NA
NA,"FFC",68419,NA,NA,NA
NA,"SNUS",82526,NA,NA,NA
NA,"ETRM",NA,NA,NA,NA
NA,"SPDU",92686,NA,NA,NA
NA,"BPMX",15443,NA,NA,NA
NA,"RTTR",15436,NA,NA,NA
NA,"SBEI",68145,NA,NA,NA
NA,"SNSS",90907,NA,NA,NA
